GeneID,Symbol
1,A1BG
2,A2M
3,A2MP1
11,NATP
12,SERPINA3
13,AADAC
14,AAMP
15,AANAT
16,AARS
9625,AATK
17,AAVS1
18,ABAT
19,ABCA1
10349,ABCA10
79963,ABCA11P
20,ABCA2
21,ABCA3
24,ABCA4
23461,ABCA5
23460,ABCA6
10347,ABCA7
10351,ABCA8
10350,ABCA9
5243,ABCB1
23456,ABCB10
8647,ABCB11
6890,TAP1
6891,TAP2
5244,ABCB4
340273,ABCB5
10058,ABCB6
22,ABCB7
11194,ABCB8
23457,ABCB9
4363,ABCC1
89845,ABCC10
1244,ABCC2
8714,ABCC3
10257,ABCC4
10057,ABCC5
368,ABCC6
6833,ABCC8
10060,ABCC9
215,ABCD1
23785,ABCD1P1
26983,ABCD1P2
26982,ABCD1P3
26957,ABCD1P4
225,ABCD2
5825,ABCD3
5826,ABCD4
6059,ABCE1
23,ABCF1
10061,ABCF2
55324,ABCF3
9619,ABCG1
9429,ABCG2
25,ABL1
27,ABL2
3983,ABLIM1
28,ABO
26,AOC1
29,ABR
30,ACAA1
10449,ACAA2
31,ACACA
32,ACACB
27034,ACAD8
33,ACADL
34,ACADM
35,ACADS
36,ACADSB
37,ACADVL
38,ACAT1
39,ACAT2
9197,SLC33A1
40,ASIC2
41,ASIC1
9311,ASIC3
26507,CNNM1
54805,CNNM2
26505,CNNM3
26504,CNNM4
43,ACHE
46,ACLS
47,ACLY
48,ACO1
50,ACO2
51,ACOX1
8309,ACOX2
8310,ACOX3
52,ACP1
53,ACP2
54,ACP5
55,ACPP
49,ACR
56,ACRV1
58,ACTA1
59,ACTA2
60,ACTB
23784,POTEH
643309,ACTBP1
62,ACTBP2
63,ACTBP3
64,ACTBP4
66,ACTBP6
67,ACTBP7
68,ACTBP8
69,ACTBP9
70,ACTC1
71,ACTG1
72,ACTG2
73,ACTG1P1
74,ACTG1P2
75,ACTG1P3
648740,ACTG1P4
100462767,ACTBP12
78,ACTG1P6
79,ACTG1P7
80,ACTG1P8
82,ACTG1P9
83,ACTG1P10
51412,ACTL6B
10881,ACTL7A
10880,ACTL7B
87,ACTN1
88,ACTN2
89,ACTN3
81,ACTN4
10121,ACTR1A
10120,ACTR1B
10097,ACTR2
10096,ACTR3
90,ACVR1
91,ACVR1B
92,ACVR2A
93,ACVR2B
94,ACVRL1
95,ACY1
97,ACYP1
98,ACYP2
AD5
100,ADA
8759,ADAM1A
